DATE,CURRENCY,UNITS,FROM,TO
02/28/2018,SRN,306.5623901,bittrex,
02/16/2018,SRN,529.5915811,bittrex,
01/28/2018,DOGE,39316.82581,bittrex,
01/26/2018,DOGE,49097.67846,bittrex,
01/09/2018,DOGE,89993.92106,bittrex,
01/04/2018,BTC,0.16502229,bittrex,
01/03/2018,DOGE,214823.9281,bittrex,
01/03/2018,DOGE,131469.2608,bittrex,
01/03/2018,DOGE,13995.40794,bittrex,
12/31/2017,ETH,0.26169794,bittrex,
12/12/2017,BTC,0.00315974,bittrex,
12/06/2017,BTC,0.10704004,bittrex,
12/01/2017,BTC,0.09874983,bittrex,
11/20/2017,BCC,1.44075045,bittrex,
11/18/2017,BCC,1.35114798,bittrex,
11/14/2017,ETH,1.00796876,bittrex,
11/10/2017,ETH,1.0126691,bittrex,
11/07/2017,ETH,0.998,bittrex,