取引所,日付(JST),取引項目,通貨ペア(+),通貨ペア(-),取引量(+)原価ベース,取引額(+)BTCベース,取引額(+)JPY時価,取引額(+)JPY原価,取引量(-)原価ベース,取引額(-)BTCベース,取引額(-)JPY時価,取引額(-)JPY原価,当日BTC時価,取引手数料,手数料通貨,取引手数料(JPY)
zaif,2017/08/25,買い,ZAIF,BTC,160291,"","","",0.1923492,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,JPY,153584.8,"","","",92150.88,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,25239,"","","",0.0302868,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00000126,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00000126,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.1182025,"","","",90925,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0208,"","","",16000,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0000208,"","","",16,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0000013,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.1143623,"","","",87971,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.13462377,"","","",97456,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.13546523,"","","",97457,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,1,"","","",0.0000012,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,122,"","","",0.0001464,"","","","","","",""
zaif,2017/08/26,買い,ZAIF,JPY,614036.7,"","","",405264.222,"","","","","","",""
zaif,2017/08/26,買い,ZAIF,BTC,579279,"","","",0.8109906,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,87.1002,"","","",124.5,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,99942.7572,"","","",142857,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,55806.3924,"","","",79769,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,141900.2178,"","","",202830.5,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,94855.54584,"","","",135585.4,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,12672.2046,"","","",18113.5,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,24565.208,"","","",26133.2,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,552629.29,"","","",587903.5,"","","","","","",""
zaif,2017/08/26,買い,ZAIF,JPY,620639.2,"","","",577194.456,"","","","","","",""
zaif,2017/08/27,売り,JPY,ZAIF,246956.27,"","","",224505.7,"","","","","","",""
zaif,2017/08/27,売り,BTC,ZAIF,0.288,"","","",100000,"","","","","","",""
zaif,2017/08/27,売り,BTC,ZAIF,0.0576,"","","",20000,"","","","","","",""
zaif,2017/08/27,売り,BTC,ZAIF,0.576,"","","",200000,"","","","","","",""
zaif,2017/08/27,売り,JPY,ZAIF,94441.49,"","","",85855.9,"","","","","","",""
zaif,2017/08/27,売り,BTC,ZAIF,0.08906112,"","","",30924,"","","","","","",""
zaif,2017/08/27,売り,BTC,ZAIF,0.05291712,"","","",18374,"","","","","","",""
zaif,2017/08/27,買い,ZAIF,BTC,699722,"","","",1.06357744,"","","","","","",""
zaif,2017/08/27,売り,JPY,ZAIF,341305.36,"","","",310277.6,"","","","","","",""
zaif,2017/08/27,買い,ZAIF,JPY,14835,"","","",28186.5,"","","","","","",""
zaif,2017/08/27,買い,ZAIF,JPY,164823.8,"","","",313165.22,"","","","","","",""
zaif,2017/08/27,買い,ZAIF,JPY,189639.7,"","","",341351.46,"","","","","","",""
zaif,2017/08/29,買い,XEM,BTC,17,"","","",0.0010965,"","","","","","",""
zaif,2017/08/29,買い,ZAIF,BTC,246934,"","","",0.987736,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.00404,"","","",2000,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.1695083,"","","",83915,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.21065772,"","","",104286,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.67970172,"","","",336486,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.1789821,"","","",88605,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.00029896,"","","",148,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.00017978,"","","",89,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.0101,"","","",5000,"","","","","","",""
zaif,2017/08/29,売り,BTC,ZAIF,0.15996986,"","","",79193,"","","","","","",""
zaif,2017/08/29,買い,XEM,BTC,2030,"","","",0.130935,"","","","","","",""
zaif,2017/08/29,買い,XEM,BTC,4500,"","","",0.29025,"","","","","","",""
zaif,2017/08/29,買い,XEM,BTC,53,"","","",0.0034185,"","","","","","",""
zaif,2017/08/30,売り,BTC,ZAIF,0.05820873,"","","",20003,"","","","","","",""
zaif,2017/08/30,売り,BTC,ZAIF,0.13929006,"","","",47866,"","","","","","",""
zaif,2017/08/30,売り,BTC,ZAIF,0.52108206,"","","",179066,"","","","","","",""
zaif,2017/08/30,買い,ZAIF,BTC,70000,"","","",0.2079,"","","","","","",""
zaif,2017/08/30,買い,ZAIF,BTC,20000,"","","",0.0594,"","","","","","",""
zaif,2017/08/30,買い,ZAIF,BTC,151946,"","","",0.45127962,"","","","","","",""
zaif,2017/08/30,買い,ZAIF,BTC,1,"","","",0.00000285,"","","","","","",""
zaif,2017/08/31,買い,ZAIF,BTC,1,"","","",0.0000025,"","","","","","",""
zaif,2017/08/31,買い,ZAIF,BTC,50000,"","","",0.125,"","","","","","",""
zaif,2017/08/31,買い,ZAIF,BTC,64530,"","","",0.161325,"","","","","","",""
zaif,2017/08/31,買い,ZAIF,BTC,64989,"","","",0.1624725,"","","","","","",""
zaif,2017/08/31,売り,BTC,XEM,0.4488,"","","",6600,"","","","","","",""
zaif,2017/09/05,売り,JPY,ZAIF,0.14045,"","","",0.1,"","","","","","",""
zaif,2017/09/05,売り,JPY,ZAIF,0.14045,"","","",0.1,"","","","","","",""
zaif,2017/09/05,売り,JPY,ZAIF,295974.3581,"","","",210732.9,"","","","","","",""
zaif,2017/09/05,買い,ZAIF,JPY,41586.5,"","","",57385.21135,"","","","","","",""
zaif,2017/09/05,買い,ZAIF,JPY,94063.4,"","","",129807.492,"","","","","","",""
zaif,2017/09/05,買い,ZAIF,JPY,78824.5,"","","",108777.81,"","","","","","",""
zaif,2017/09/05,買い,ZAIF,JPY,3,"","","",4.1394,"","","","","","",""
zaif,2017/09/05,売り,JPY,ZAIF,0.14045,"","","",0.1,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,0.1345,"","","",0.1,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,131189.95,"","","",100145,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,147322.993,"","","",112460.3,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,84861.4188,"","","",63781.6,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,59827.114,"","","",44647.1,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,10516.017,"","","",7818.6,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,14076.6355,"","","",10465.9,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,0.1345,"","","",0.1,"","","","","","",""
zaif,2017/09/07,売り,JPY,ZAIF,17442.3635,"","","",12968.3,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,594.5,"","","",772.85,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,146826.3,"","","",190874.19,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,91945,"","","",119528.5,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,29800.1,"","","",38740.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,4035.3,"","","",5245.89,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,74198.9,"","","",96458.57,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,5612,"","","",7295.6,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,10,"","","",13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,399.9,"","","",519.87,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,0.1,"","","",0.13,"","","","","","",""
zaif,2017/09/07,買い,ZAIF,JPY,4451.9,"","","",5787.47,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,22997.5,"","","",25000,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,0.9199,"","","",1,"","","","","","",""
zaif,2017/09/10,買い,ZAIF,JPY,35421,"","","",31521.1479,"","","","","","",""
zaif,2017/09/10,買い,ZAIF,JPY,37784,"","","",34152.9576,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,0.9199,"","","",1,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,86048.829,"","","",98906.7,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,84607.935,"","","",97250.5,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,143011.644,"","","",164381.2,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,0.87,"","","",1,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,62440.509,"","","",71770.7,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,261.348,"","","",300.4,"","","","","","",""
zaif,2017/09/10,買い,ZAIF,JPY,437640.9,"","","",376371.174,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,42673.88503,"","","",46389.7,"","","","","","",""
zaif,2017/09/10,売り,JPY,ZAIF,0.9199,"","","",1,"","","","","","",""
zaif,2017/09/11,売り,JPY,ZAIF,11676.7116,"","","",11688.4,"","","","","","",""
zaif,2017/09/11,買い,ZAIF,JPY,441619.4,"","","",437203.206,"","","","","","",""
zaif,2017/09/11,売り,JPY,ZAIF,67294.5381,"","","",67361.9,"","","","","","",""
zaif,2017/09/11,売り,JPY,ZAIF,358232.0094,"","","",358590.6,"","","","","","",""
zaif,2017/09/12,売り,JPY,ZAIF,379984.8514,"","","",436714,"","","","","","",""
zaif,2017/09/12,買い,ZAIF,JPY,30402.5,"","","",27027.8225,"","","","","","",""
zaif,2017/09/12,買い,ZAIF,JPY,5039.2,"","","",4479.8488,"","","","","","",""
zaif,2017/09/12,買い,ZAIF,JPY,357283.8,"","","",317625.2982,"","","","","","",""
zaif,2017/09/12,買い,ZAIF,JPY,39520,"","","",35133.28,"","","","","","",""
zaif,2017/09/12,買い,ZAIF,JPY,0.9,"","","",0.8001,"","","","","","",""
zaif,2017/09/12,売り,JPY,ZAIF,87.01,"","","",100,"","","","","","",""
zaif,2017/09/12,売り,JPY,ZAIF,4195.1142,"","","",4805.4,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,48647.28,"","","",60809.1,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,8421.2,"","","",10526.5,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,36359.68,"","","",45449.6,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,136557.28,"","","",170696.6,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,0.08,"","","",0.1,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,31167.28,"","","",38959.1,"","","","","","",""
zaif,2017/09/13,売り,JPY,ZAIF,84644.32,"","","",105805.4,"","","","","","",""
zaif,2017/09/13,買い,ZAIF,JPY,1347.3,"","","",1071.1035,"","","","","","",""
zaif,2017/09/13,買い,ZAIF,JPY,420259.2,"","","",334106.064,"","","","","","",""
zaif,2017/09/13,買い,ZAIF,JPY,13358.4,"","","",10619.928,"","","","","","",""
zaif,2017/09/14,買い,ZAIF,JPY,456713.2,"","","",274027.92,"","","","","","",""
zaif,2017/09/14,売り,JPY,ZAIF,274027.887,"","","",434964.9,"","","","","","",""
zaif,2017/09/14,売り,JPY,ZAIF,241144.5696,"","","",456713.2,"","","","","","",""
zaif,2017/09/15,買い,ZAIF,JPY,239595.8,"","","",96006.03706,"","","","","","",""
zaif,2017/09/15,買い,ZAIF,JPY,463739.5,"","","",241144.54,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,121928.366,"","","",248833.4,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,43.855,"","","",89.5,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,46944.891,"","","",95805.9,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,58315.243,"","","",119010.7,"","","","","","",""
zaif,2017/09/15,買い,ZAIF,JPY,327329.4,"","","",131226.3565,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,17355.69,"","","",36927,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,95254.336,"","","",202668.8,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,65726.727,"","","",139844.1,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,61100,"","","",130000,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,470,"","","",1000,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,17473.472,"","","",37177.6,"","","","","","",""
zaif,2017/09/15,売り,JPY,ZAIF,9074.619,"","","",19307.7,"","","","","","",""
zaif,2017/09/15,買い,ZAIF,JPY,512413.1,"","","",266454.812,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,50000,"","","",35000,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,14503.129,"","","",19867.3,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,535.747,"","","",733.9,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,16942.643,"","","",23209.1,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,12602.8,"","","",8947.988,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,456000,"","","",323760,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,19867.3,"","","",14105.783,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,733.9,"","","",521.069,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,23209.1,"","","",16478.461,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,15071,"","","",10248.28,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,532.7245,"","","",777.7,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,14210.736,"","","",20745.6,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,91923.301,"","","",134194.6,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,254659.847,"","","",371766.2,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,296.9,"","","",201.50603,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,9200.044,"","","",12602.8,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,217221.4,"","","",152054.98,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,105957.9,"","","",74170.53,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,104700,"","","",71196,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,100000,"","","",68000,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,12797.3,"","","",8702.164,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,18314,"","","",12453.52,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,189110.6,"","","",128595.208,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,106143.8,"","","",72177.784,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,78676.353,"","","",114023.7,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,14350.275,"","","",20797.5,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,205952.58,"","","",298482,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,20397.021,"","","",29560.9,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,47263.965,"","","",68498.5,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,541486.6,"","","",366640.5769,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,351966.29,"","","",541486.6,"","","","","","",""
zaif,2017/09/16,買い,ZAIF,JPY,129629.7,"","","",90740.79,"","","","","","",""
zaif,2017/09/16,売り,JPY,ZAIF,332880,"","","",456000,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,341699.8165,"","","",483309.5,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,237455.8545,"","","",341663.1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,14488.4565,"","","",20846.7,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,5905.554,"","","",8497.2,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,6.95,"","","",10,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,270617.6,"","","",186455.5264,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,91595.44,"","","",131792,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,236158.7,"","","",162996.7347,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,6242.65168,"","","",8916.8,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,233.34333,"","","",333.3,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,311.12444,"","","",444.4,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,388.90555,"","","",555.5,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.07001,"","","",0.1,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,8916.8,"","","",6197.176,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,333.3,"","","",231.6435,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,444.4,"","","",308.858,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,555.5,"","","",386.0725,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,0.1,"","","",0.0695,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,75.4,"","","",52.31252,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,101494.0827,"","","",144846.7,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.07,"","","",0.1,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,144846.7,"","","",100668.4565,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,0.1,"","","",0.0695,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,63962.71,"","","",91375.3,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.7,"","","",1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,5453.7,"","","",7791,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,14639.59,"","","",20913.7,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,420,"","","",600,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,2676.59,"","","",3823.7,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,67307.1,"","","",96153,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,7.7,"","","",11,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.07,"","","",0.1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,155.4,"","","",222,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,126,"","","",180,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.7,"","","",1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,23963.87,"","","",34234.1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.07,"","","",0.1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,176081.99,"","","",251545.7,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,258001.8,"","","",179337.0512,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,130350.8,"","","",90606.84108,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,8327.8,"","","",5788.65378,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,35562.6,"","","",24719.56326,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,293665.514,"","","",413613.4,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,13227.016,"","","",18629.6,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,21254.3,"","","",15728.182,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,189798.7,"","","",140451.038,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,7965.6,"","","",5894.544,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,88094.5,"","","",65189.93,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,61665.1,"","","",45632.174,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,120221,"","","",88963.54,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,55679.29117,"","","",76722.3,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,46702.615,"","","",64417.4,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,1087.5,"","","",1500,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.0725,"","","",0.1,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,5640.8625,"","","",7780.5,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,37836.01,"","","",52187.6,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,21788.6425,"","","",30053.3,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,185845.05,"","","",256338,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,429520.1,"","","",309469.2321,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,16537.7,"","","",11915.41285,"","","","","","",""
zaif,2017/09/17,買い,ZAIF,JPY,45918.3,"","","",33084.13515,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,6127.2155,"","","",8666.5,"","","","","","",""
zaif,2017/09/17,売り,JPY,ZAIF,0.0707,"","","",0.1,"","","","","","",""
zaif,2017/09/18,売り,JPY,ZAIF,186522.2502,"","","",217391.9,"","","","","","",""
zaif,2017/09/18,買い,ZAIF,JPY,258624.9,"","","",206899.92,"","","","","","",""
zaif,2017/09/18,買い,ZAIF,JPY,176159,"","","",140927.2,"","","","","","",""
zaif,2017/09/18,買い,ZAIF,JPY,205744.9,"","","",175294.6548,"","","","","","",""
zaif,2017/09/18,買い,ZAIF,JPY,13177.9,"","","",11227.5708,"","","","","","",""
zaif,2017/09/21,売り,JPY,ZAIF,692.153,"","","",777.7,"","","","","","",""
zaif,2017/09/21,売り,JPY,ZAIF,18358.742,"","","",20627.8,"","","","","","",""
zaif,2017/09/21,売り,JPY,ZAIF,692.153,"","","",777.7,"","","","","","",""
zaif,2017/09/21,買い,ZAIF,JPY,129440.1,"","","",116496.09,"","","","","","",""
zaif,2017/09/21,売り,JPY,ZAIF,96752.968,"","","",108711.2,"","","","","","",""
zaif,2017/09/25,買い,PEPECASH,JPY,9.8763,"","","",11.21058813,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,6.5340275,"","","",7,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,0.09334325,"","","",0.1,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,45.419374,"","","",49,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,4.57381925,"","","",4.9,"","","","","","",""
zaif,2017/09/25,買い,XEM,JPY,1,"","","",24.631,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,0.46671625,"","","",0.5,"","","","","","",""
zaif,2017/09/25,売り,JPY,ZAIF,24.243219,"","","",26,"","","","","","",""
zaif,2017/09/25,買い,CICC,JPY,5.037,"","","",45.333,"","","","","","",""
zaif,2017/09/28,売り,JPY,PEPECASH,12.83789,"","","",9.8753,"","","","","","",""
zaif,2017/09/29,買い,ZAIF,JPY,13.9,"","","",12.788,"","","","","","",""
zaif,2017/10/02,買い,ZAIF,JPY,252970,"","","",202376,"","","","","","",""
zaif,2017/10/02,買い,ZAIF,JPY,10345.9,"","","",7759.425,"","","","","","",""
zaif,2017/10/02,買い,ZAIF,JPY,20000,"","","",15000,"","","","","","",""
